question,answer,resourse,sphere_id,topic_id,subtopic_id,Level,type_interview,company_ids
Как именно работают L1 и L2?,"Регуляризация L1 (Lasso) и L2 (Ridge) работают путем добавления штрафа к функции потерь во время обучения модели. Этот штраф помогает управлять сложностью модели и предотвращать переобучение.

L1 (Lasso) регуляризация:

Добавляет к функции потерь сумму абсолютных значений весовых коэффициентов, где λ — это параметр регуляризации, а wi — весовой коэффициент для i-го признака:
λ * Σ |wi|

Такой штраф приводит к тому, что некоторые весовые коэффициенты становятся равными нулю, что эквивалентно отбору признаков.

L2 (Ridge) регуляризация:

Добавляет к функции потерь сумму квадратов весовых коэффициентов:
λ * Σ wi^2

Этот штраф предотвращает слишком большие значения весовых коэффициентов, но не обнуляет их, сохраняя все признаки в модели.",https://neerc.ifmo.ru/wiki/index.php?title=Регуляризация,1,1,4,,2,1
Каким образом L1 обнуляет веса?,"Регуляризация L1 (Lasso) обнуляет веса путем добавления суммы абсолютных значений весовых коэффициентов к функции потерь. Это приводит к тому, что некоторые веса будут установлены в ноль в процессе обучения модели.
 
Когда выполняется оптимизация функции потерь с использованием L1-регуляризации, в процессе минимизации потерь оптимизатор стремится уменьшить сумму абсолютных значений весовых коэффициентов. Поскольку это включает в себя абсолютные значения, существует возможность, что некоторые весовые коэффициенты будут равны нулю, особенно если штраф за регуляризацию (задаваемый параметром λ) достаточно большой.",https://neerc.ifmo.ru/wiki/index.php?title=Регуляризация,1,1,4,,2,1
Почему происходит зануление весов в случае с L1?,"В случае L1 (Lasso) регуляризации, происходит зануление весов из-за того, что L1-регуляризация добавляет штраф к модели за абсолютные значения весов. Это приводит к тому, что в процессе минимизации функции потерь с учетом штрафа, некоторые веса становятся точно нулевыми, что в свою очередь приводит к отбору признаков и упрощению модели.",https://neerc.ifmo.ru/wiki/index.php?title=Регуляризация,1,1,4,,2,1
"Регуляризация, что такое и зачем нужна? МНК и регуляризация, как она тут работает?","Регуляризация - это метод контроля за сложностью модели путем добавления штрафа за большие значения параметров. Она используется для предотвращения переобучения и улучшения обобщающей способности модели.
В методе наименьших квадратов (МНК) с регуляризацией, к функции потерь добавляется штрафной член, зависящий от параметров модели. Например, в случае L2-регуляризации к функции потерь добавляется сумма квадратов значений параметров, умноженная на коэффициент регуляризации. Это заставляет модель учитывать не только точность предсказаний, но и сложность модели, помогая избежать переобучения.",https://neerc.ifmo.ru/wiki/index.php?title=Регуляризация,1,1,4,,2,1
Чем тестовая выборка отличается от валидационной?,"Тестовая выборка и валидационная выборка являются частями данных, которые используются в машинном обучении для оценки качества модели. Однако их роли и цели отличаются:
 
Тестовая выборка (Test Set):
Используется для окончательной оценки качества модели после ее обучения и настройки.
Никогда не используется в процессе обучения или настройки модели, чтобы избежать переобучения.
Помогает оценить, насколько хорошо модель обобщает данные, которые она ранее не видела.
 
Валидационная выборка (Validation Set):
Используется во время обучения модели для настройки гиперпараметров и оценки ее качества на данных, которые не использовались в обучении.
Помогает выбирать лучшие параметры модели и предотвращать переобучение.
Обычно используется для выбора лучшей модели из нескольких вариантов.",https://help.loginom.ru/userguide/processors/validation.html,1,1,5,,2,1
Чем логистическая регрессия отличается от линейной регрессии?,"Логистическая регрессия используется для задач классификации, в то время как линейная регрессия - для задач регрессии. В логистической регрессии используется логистическая функция для предсказания вероятности принадлежности к определенному классу, в то время как в линейной регрессии прогнозируется непрерывное числовое значение.",https://aws.amazon.com/ru/compare/the-difference-between-linear-regression-and-logistic-regression/,1,1,6,,2,1
Чем отличается градиентный бустинг от случайного леса?,"Градиентный бустинг строит последовательность деревьев, каждое из которых исправляет ошибки предыдущего, тогда как случайный лес строит множество независимых деревьев, каждое из которых обучается на случайном подмножестве данных и признаков.",https://ranalytics.github.io/data-mining/044-Ensembles.html,1,1,6,,2,1
Почему некоторые предпочитают использовать линейную регрессию вместо деревьев решений?,"Некоторые предпочитают использовать линейную регрессию вместо деревьев решений из-за следующих причин:
Простота интерпретации и понимания результатов модели.
Эффективность на больших наборах данных и при наличии линейных зависимостей между признаками и целевой переменной.
Меньшая склонность к переобучению, особенно при ограниченном количестве данных.",https://ranalytics.github.io/data-mining/044-Ensembles.html,1,1,6,,2,1
Каковы различия между алгоритмами k-Nearest Neighbors (kNN) и k-Means?,"k-Nearest Neighbors (kNN) - это алгоритм классификации или регрессии, который основывается на принципе ""ближайших соседей"", используя расстояние между точками данных.
 
k-Means - это алгоритм кластеризации, который группирует точки данных в заданное количество кластеров, минимизируя среднеквадратичное расстояние между точками кластера и их центроидами.",https://habr.com/ru/articles/149693/,1,1,6,,2,1
"Что будешь делать, если тебе надо обработать рукописный код (просил именно какие модели буду использовать). ","Для обработки рукописного кода можно использовать следующие модели машинного обучения:
CNN (Convolutional Neural Networks): Эффективны для распознавания визуальных паттернов в изображениях, включая рукописный текст.
RNN (Recurrent Neural Networks): Подходят для работы с последовательными данными, что делает их хорошим выбором для интерпретации последовательности символов в рукописных строках.
LSTM (Long Short-Term Memory): Разновидность RNN, особенно эффективная для длинных последовательностей данных и сохранения контекста в тексте.
CRNN (Convolutional Recurrent Neural Network): Комбинирует CNN для извлечения признаков с RNN для обработки последовательностей, оптимально для распознавания рукописного текста.
Transformer и BERT модели: Эти модели, основанные на механизме внимания, могут быть дообучены для обработки последовательностей символов, полученных после предварительной обработки изображений рукописного текста.
Выбор конкретной модели или комбинации моделей зависит от специфики задачи и доступности обучающих данных.",https://habr.com/ru/articles/720614/,1,1,6,,2,1
"Помимо линейной и логистической регрессий, существуют и другие линейные модели:","Ridge регрессия: Регрессионная модель, которая вводит штраф на коэффициенты модели с целью снижения переобучения.
Lasso регрессия: Также регрессионная модель, которая добавляет штраф к абсолютным значениям коэффициентов, что может привести к отбору признаков.
ElasticNet регрессия: Комбинация Ridge и Lasso регрессий, которая вводит штрафы на коэффициенты как по их абсолютным значениям, так и по их квадратам.
Метод опорных векторов (SVM): Линейная модель для задач классификации и регрессии, которая стремится найти гиперплоскость максимального зазора между классами.
Линейная дискриминантный анализ (LDA): Статистический метод, который моделирует распределение признаков в каждом классе и использует его для принятия решений.
Обобщенные линейные модели (GLM): Класс моделей, который обобщает линейные модели, позволяя выбирать различные функции связи и распределения ошибок.",https://education.yandex.ru/handbook/ml/article/linear-models,1,1,6,,2,1
Чем принципиально отличаются случайный лес и град. бустинг?,"Случайный лес и градиентный бустинг - это два разных подхода к построению ансамблей моделей машинного обучения:
Случайный лес (Random Forest):
Строит ансамбль деревьев решений, каждое из которых обучается независимо на случайной подвыборке обучающих данных.
Каждое дерево в случайном лесу строится на основе случайного подмножества признаков.
Прогнозы получаются путем усреднения прогнозов всех деревьев (для регрессии) или путем голосования (для классификации).
Случайный лес обладает хорошей устойчивостью к переобучению и хорошей способностью к обобщению на новые данные.
Градиентный бустинг (Gradient Boosting):
Построение ансамбля деревьев решений, где каждое последующее дерево исправляет ошибки предыдущего.
На каждом шаге строится новое дерево, которое предсказывает остатки предыдущей модели.
Прогнозы получаются путем суммирования прогнозов всех деревьев.
Градиентный бустинг имеет меньше случайности, чем случайный лес, и может достигать более высоких результатов при правильной настройке параметров, но более чувствителен к переобучению.",https://education.yandex.ru/handbook/ml/article/gradientnyj-busting,1,1,6,,2,1
В чём разница между случайным лесом и деревом решений в машинном обучении?,"Основное различие между случайным лесом и деревом решений заключается в том, что случайный лес является ансамблевым методом, состоящим из множества деревьев решений, в то время как дерево решений - это одиночный алгоритм. В случайном лесе каждое дерево строится независимо на подмножестве данных, а затем результаты объединяются для получения итогового предсказания. Это позволяет снизить переобучение и повысить устойчивость модели.",https://ranalytics.github.io/data-mining/044-Ensembles.html,1,1,6,,2,1
"Есть три модели (бустинг, логрег и рандомфорест) на какие критерии следует обратить внимание при выборе модели?","При выборе модели следует обратить внимание на следующие критерии:
Производительность модели: Оцените скорость обучения и предсказания для каждой модели, особенно если важна скорость работы в реальном времени.
Обобщающая способность: Проверьте, как модели обобщают данные на отложенной выборке или с помощью кросс-валидации. Избегайте переобучения, выбирая модель с наилучшими показателями на тестовых данных.
Интерпретируемость: Некоторые модели, такие как логистическая регрессия, легче интерпретировать, чем другие, например, бустинг или случайный лес. Если важно понимать, какие признаки влияют на прогнозы, это стоит учитывать.
Устойчивость к выбросам: Оцените, насколько модели устойчивы к выбросам в данных. Некоторые модели могут быть более чувствительны к выбросам, чем другие.
Гибкость: Рассмотрите, насколько легко модель можно настроить и насколько она гибкая в использовании. Некоторые модели могут требовать меньше тюнинга гиперпараметров или быть более подходящими для конкретных типов данных.",https://ranalytics.github.io/data-mining/044-Ensembles.html,1,1,6,,2,1
В каком случае линейная регрессия будет лучше бустинга?,"Линейная регрессия может быть лучше бустинга в случае, когда данные действительно линейно зависят от предикторов и нет необходимости в модели с высокой сложностью. Если взаимосвязи в данных просты и линейные, то линейная регрессия может обеспечить достаточно хорошее качество прогнозов при меньшем числе параметров и менее высокой вычислительной сложности.",https://ranalytics.github.io/data-mining/044-Ensembles.html,1,1,6,,2,1
Что такое градиент?,"Градиент представляет собой вектор, который указывает на направление наибольшего увеличения функции. В контексте оптимизации и машинного обучения, градиент используется для определения направления, в котором следует изменить параметры модели, чтобы уменьшить функцию потерь или ошибку предсказания.",https://math.fandom.com/ru/wiki/Градиент,1,1,7,,2,1
"Если у вас есть выбор между градиентным спуском (GD) и стохастическим градиентным спуском (SGD), что лучше сработает?","Это зависит от размера данных и времени обучения. Градиентный спуск (GD) обновляет параметры модели по всей обучающей выборке, что может быть медленным на больших наборах данных. Стохастический градиентный спуск (SGD) обновляет параметры по одному случайному экземпляру за раз, что обычно быстрее, но может быть менее стабильным. Таким образом, выбор зависит от компромисса между точностью и скоростью обучения.",https://education.yandex.ru/handbook/ml/article/linear-models#stohasticheskij-gradientnyj-spusk,1,1,7,,2,1
"Как сделать, чтобы при каждом запуске кода, модель, обучаемая при помощи градиентного спуска, сходилась к одной и той же точке?","Чтобы гарантировать, что модель, обучаемая при помощи градиентного спуска, сходится к одной и той же точке при каждом запуске кода, необходимо установить одинаковые начальные значения параметров модели и использовать одинаковый порядок обучающих данных. Также важно убедиться, что все остальные условия, такие как функция потерь, гиперпараметры и алгоритм оптимизации, остаются неизменными при каждом запуске.",https://education.yandex.ru/handbook/ml/article/optimizaciya-v-ml,1,1,7,,2,1
Как делается один шаг градиентного спуска для обновления весов?,"Один шаг градиентного спуска для обновления весов выполняется следующим образом:
Рассчитывается градиент функции потерь по отношению к каждому параметру модели.
Градиенты умножаются на скорость обучения (learning rate), которая определяет размер шага.
Полученные значения добавляются к текущим значениям параметров модели, обновляя их.",https://education.yandex.ru/handbook/ml/article/optimizaciya-v-ml,1,1,7,,2,1
Что такое кросс-энтропия?,"Кросс-энтропия - это мера расхождения между двумя вероятностными распределениями. В контексте машинного обучения, особенно в задачах классификации, кросс-энтропия используется как функция потерь для оценки различия между фактическими и предсказанными вероятностями классов. Она стремится минимизировать разницу между предсказанными и истинными вероятностями, что делает ее хорошим выбором для обучения моделей классификации.",https://habr.com/ru/articles/686806/,1,1,8,,2,1
Назовите пять функций потерь.,"Основные функции потерь:
Среднеквадратичная ошибка (MSE): Используется в задачах регрессии для измерения среднеквадратичной разницы между предсказанными и фактическими значениями.
Кросс-энтропия: Часто применяется в задачах классификации для измерения расхождения между фактическими и предсказанными вероятностями классов.
Логарифмическая потеря (Log Loss): Альтернатива кросс-энтропии, также используется в задачах классификации для оценки вероятностей предсказанных классов.
Абсолютная ошибка (MAE): Еще одна функция потерь для задач регрессии, измеряющая среднее абсолютное отклонение между предсказанными и фактическими значениями.
Хьюбера потеря: Альтернатива среднеквадратичной ошибке, которая менее чувствительна к выбросам в данных, используется также в задачах регрессии.",https://id-lab.ru/posts/developers/funkcii/,1,1,8,,2,1
Какие функции потерь для классификации вы знаете?,"Для классификации часто используются следующие функции потерь:
Кросс-энтропия (Cross-Entropy): Часто используется в задачах бинарной и многоклассовой классификации. Эта функция измеряет расхождение между фактическими и предсказанными вероятностями классов.
Логарифмическая потеря (Log Loss): Аналогично кросс-энтропии, используется для оценки вероятностей предсказанных классов и часто используется в задачах бинарной и многоклассовой классификации.
Hinge Loss: Обычно используется в задачах обучения опорных векторов (SVM) для максимизации зазора между классами.
Exponential Loss: Используется в алгоритмах градиентного бустинга для классификации, таких как AdaBoost, для минимизации ошибок весовых коэффициентов.
Focal Loss: Разработана для улучшения обучения моделей в задачах с сильным дисбалансом классов, минимизируя потери для хорошо классифицированных примеров.",https://dzen.ru/a/ZaZguRUfIwBOUjHY,1,1,8,,2,1
